Date,ST,Counts
Aug-19,10,0
Aug-19,12,0
Aug-19,38,3
Aug-19,69,1
Aug-19,73,1
Aug-19,127,0
Aug-19,131,3
Aug-19,648,0
Aug-19,998,1
Aug-19,1193,0
Aug-19,1722,0
Aug-19,4553,1
Aug-19,7476,0
Aug-19,Less_than_three,5
Sep-19,10,0
Sep-19,12,2
Sep-19,38,2
Sep-19,69,1
Sep-19,73,1
Sep-19,127,0
Sep-19,131,14
Sep-19,648,0
Sep-19,998,3
Sep-19,1193,4
Sep-19,1722,0
Sep-19,4553,0
Sep-19,7476,0
Sep-19,Less_than_three,3
Oct-19,10,0
Oct-19,12,2
Oct-19,38,1
Oct-19,69,3
Oct-19,73,2
Oct-19,127,0
Oct-19,131,9
Oct-19,648,1
Oct-19,998,1
Oct-19,1193,1
Oct-19,1722,0
Oct-19,4553,2
Oct-19,7476,0
Oct-19,Less_than_three,3
Nov-19,10,0
Nov-19,12,0
Nov-19,38,0
Nov-19,69,1
Nov-19,73,0
Nov-19,127,0
Nov-19,131,10
Nov-19,648,1
Nov-19,998,1
Nov-19,1193,3
Nov-19,1722,2
Nov-19,4553,0
Nov-19,7476,0
Nov-19,Less_than_three,2
Dec-19,10,1
Dec-19,12,0
Dec-19,38,2
Dec-19,69,2
Dec-19,73,0
Dec-19,127,0
Dec-19,131,6
Dec-19,648,3
Dec-19,998,0
Dec-19,1193,3
Dec-19,1722,0
Dec-19,4553,0
Dec-19,7476,1
Dec-19,Less_than_three,1
Jan-20,10,0
Jan-20,12,0
Jan-20,38,1
Jan-20,69,3
Jan-20,73,0
Jan-20,127,2
Jan-20,131,14
Jan-20,648,4
Jan-20,998,0
Jan-20,1193,0
Jan-20,1722,0
Jan-20,4553,0
Jan-20,7476,0
Jan-20,Less_than_three,3
Feb-20,10,0
Feb-20,12,1
Feb-20,38,2
Feb-20,69,1
Feb-20,73,0
Feb-20,127,0
Feb-20,131,11
Feb-20,648,1
Feb-20,998,1
Feb-20,1193,3
Feb-20,1722,0
Feb-20,4553,0
Feb-20,7476,0
Feb-20,Less_than_three,4
Mar-20,10,0
Mar-20,12,0
Mar-20,38,2
Mar-20,69,1
Mar-20,73,0
Mar-20,127,0
Mar-20,131,8
Mar-20,648,1
Mar-20,998,2
Mar-20,1193,0
Mar-20,1722,0
Mar-20,4553,0
Mar-20,7476,0
Mar-20,Less_than_three,2
Jun-20,10,1
Jun-20,12,0
Jun-20,38,2
Jun-20,69,2
Jun-20,73,0
Jun-20,127,2
Jun-20,131,10
Jun-20,648,1
Jun-20,998,0
Jun-20,1193,1
Jun-20,1722,0
Jun-20,4553,0
Jun-20,7476,0
Jun-20,Less_than_three,3
Jul-20,10,0
Jul-20,12,0
Jul-20,38,2
Jul-20,69,2
Jul-20,73,0
Jul-20,127,0
Jul-20,131,16
Jul-20,648,0
Jul-20,998,0
Jul-20,1193,1
Jul-20,1722,2
Jul-20,4553,0
Jul-20,7476,0
Jul-20,Less_than_three,2
Aug-20,10,0
Aug-20,12,2
Aug-20,38,1
Aug-20,69,5
Aug-20,73,0
Aug-20,127,1
Aug-20,131,7
Aug-20,648,3
Aug-20,998,0
Aug-20,1193,1
Aug-20,1722,1
Aug-20,4553,0
Aug-20,7476,0
Aug-20,Less_than_three,2
Sep-20,10,0
Sep-20,12,0
Sep-20,38,0
Sep-20,69,1
Sep-20,73,0
Sep-20,127,1
Sep-20,131,9
Sep-20,648,2
Sep-20,998,1
Sep-20,1193,0
Sep-20,1722,1
Sep-20,4553,0
Sep-20,7476,0
Sep-20,Less_than_three,1
Oct-20,10,0
Oct-20,12,1
Oct-20,38,0
Oct-20,69,0
Oct-20,73,0
Oct-20,127,0
Oct-20,131,7
Oct-20,648,1
Oct-20,998,3
Oct-20,1193,1
Oct-20,1722,0
Oct-20,4553,0
Oct-20,7476,1
Oct-20,Less_than_three,5
Nov-20,10,0
Nov-20,12,0
Nov-20,38,1
Nov-20,69,0
Nov-20,73,2
Nov-20,127,0
Nov-20,131,13
Nov-20,648,1
Nov-20,998,2
Nov-20,1193,5
Nov-20,1722,2
Nov-20,4553,1
Nov-20,7476,1
Nov-20,Less_than_three,4
Dec-20,10,1
Dec-20,12,0
Dec-20,38,0
Dec-20,69,0
Dec-20,73,0
Dec-20,127,0
Dec-20,131,9
Dec-20,648,0
Dec-20,998,0
Dec-20,1193,1
Dec-20,1722,0
Dec-20,4553,0
Dec-20,7476,0
Dec-20,Less_than_three,2
Jan-21,10,1
Jan-21,12,1
Jan-21,38,4
Jan-21,69,2
Jan-21,73,0
Jan-21,127,0
Jan-21,131,12
Jan-21,648,2
Jan-21,998,0
Jan-21,1193,2
Jan-21,1722,0
Jan-21,4553,0
Jan-21,7476,0
Jan-21,Less_than_three,2
